"Relative Time (Process)","ConvNext_Large_Base - system/gpu.0.powerWatts","ConvNext_Large_Base - system/gpu.0.powerWatts__MIN","ConvNext_Large_Base - system/gpu.0.powerWatts__MAX"
"3481.047964836","675.249","675.249","675.249"
"3491.04644818","145.284","145.284","145.284"
"3501.046883129","139.989","139.989","139.989"
"3511.059909536","611.443","611.443","611.443"
"3521.046826233","604.348","604.348","604.348"
"3531.077674714","623.804","623.804","623.804"
"3541.045964592","633.518","633.518","633.518"
"3551.05916025","614.764","614.764","614.764"
"3561.109414148","630.718","630.718","630.718"
"3571.046269668","625.775","625.775","625.775"
"3581.046261179","629.728","629.728","629.728"
"3591.066417089","632.79","632.79","632.79"
"3601.04676795","633.07","633.07","633.07"
"3611.046060059","647.812","647.812","647.812"
"3621.068141947","670.939","670.939","670.939"
"3631.046665007","146.953","146.953","146.953"
"3641.109359093","141.804","141.804","141.804"
"3651.046609723","621.948","621.948","621.948"
"3661.114389445","621.586","621.586","621.586"
"3671.046656328","626.676","626.676","626.676"
"3681.046842625","635.379","635.379","635.379"
"3691.115921053","629.398","629.398","629.398"
"3701.046130211","626.475","626.475","626.475"
"3711.046733186","634.413","634.413","634.413"
"3721.046770905","638.696","638.696","638.696"
"3731.04605783","627.383","627.383","627.383"
"3741.046629667","634.179","634.179","634.179"
"3751.07045542","630.42","630.42","630.42"
"3761.046753137","668.72","668.72","668.72"
"3771.046886281","144.845","144.845","144.845"
"3781.046852543","139.753","139.753","139.753"
"3791.046646898","136.819","136.819","136.819"
"3801.072903596","624.758","624.758","624.758"
"3811.046461404","617.843","617.843","617.843"
"3821.046006317","615.739","615.739","615.739"
"3831.054725721","613.503","613.503","613.503"
"3841.053047448","625.78","625.78","625.78"
"3851.046683736","619.105","619.105","619.105"
"3861.046359595","626.71","626.71","626.71"
"3871.077298978","627.183","627.183","627.183"
"3881.046471129","625.361","625.361","625.361"
"3891.046739602","631.432","631.432","631.432"
"3901.098291201","621.67","621.67","621.67"
"3911.060811676","669.287","669.287","669.287"
"3921.06609161","142.942","142.942","142.942"
"3931.091278181","138.732","138.732","138.732"
"3941.055135315","620.943","620.943","620.943"
"3951.046345426","612.729","612.729","612.729"
"3961.046600683","617.665","617.665","617.665"
"3971.0888223","618.101","618.101","618.101"
"3981.046067313","623.869","623.869","623.869"
"3991.04652395","619.031","619.031","619.031"
"4001.047050986","627.399","627.399","627.399"
"4011.046334968","625.443","625.443","625.443"
"4021.046077386","633.336","633.336","633.336"
"4031.045938943","619.979","619.979","619.979"
"4041.097677776","629.163","629.163","629.163"
"4051.046614132","286.992","286.992","286.992"
"4061.047086033","143.939","143.939","143.939"
