"epoch","ResNet_18_Base - _step","ResNet_18_Base - _step__MIN","ResNet_18_Base - _step__MAX","ResNet_18_Base - train_loss_epoch","ResNet_18_Base - train_loss_epoch__MIN","ResNet_18_Base - train_loss_epoch__MAX","ResNet_18_Base - val_loss_epoch","ResNet_18_Base - val_loss_epoch__MIN","ResNet_18_Base - val_loss_epoch__MAX"
"18","5774.5","5774","5775","0.009984462521970272","0.009984462521970272","0.009984462521970272","0.033301692456007004","0.033301692456007004","0.033301692456007004"
"19","6078.5","6078","6079","0.014038427732884884","0.014038427732884884","0.014038427732884884","0.05781250074505806","0.05781250074505806","0.05781250074505806"
"20","6382.5","6382","6383","0.01538883801549673","0.01538883801549673","0.01538883801549673","0.01798335276544094","0.01798335276544094","0.01798335276544094"
"21","6686.5","6686","6687","0.012948798947036266","0.012948798947036266","0.012948798947036266","0.004804322496056557","0.004804322496056557","0.004804322496056557"
"22","6990.5","6990","6991","0.012202927842736244","0.012202927842736244","0.012202927842736244","0.021882301196455956","0.021882301196455956","0.021882301196455956"
"23","7294.5","7294","7295","0.011813580058515072","0.011813580058515072","0.011813580058515072","0.0073087033815681934","0.0073087033815681934","0.0073087033815681934"
"24","7598.5","7598","7599","0.013387385755777359","0.013387385755777359","0.013387385755777359","0.032169975340366364","0.032169975340366364","0.032169975340366364"
"25","7902.5","7902","7903","0.011082297191023827","0.011082297191023827","0.011082297191023827","0.010594334453344345","0.010594334453344345","0.010594334453344345"
"26","8206.5","8206","8207","0.009472018107771873","0.009472018107771873","0.009472018107771873","0.005264310631901026","0.005264310631901026","0.005264310631901026"
"27","8510.5","8510","8511","0.009348921477794647","0.009348921477794647","0.009348921477794647","0.010360688902437687","0.010360688902437687","0.010360688902437687"
"28","8814.5","8814","8815","0.013393769040703773","0.013393769040703773","0.013393769040703773","0.036966998130083084","0.036966998130083084","0.036966998130083084"
"29","9118.5","9118","9119","0.012418118305504322","0.012418118305504322","0.012418118305504322","0.017640186473727226","0.017640186473727226","0.017640186473727226"
"30","9422.5","9422","9423","0.011549150571227074","0.011549150571227074","0.011549150571227074","0.023284170776605606","0.023284170776605606","0.023284170776605606"
"31","9726.5","9726","9727","0.009987197816371918","0.009987197816371918","0.009987197816371918","0.00689982483163476","0.00689982483163476","0.00689982483163476"
"32","10030.5","10030","10031","0.01089993305504322","0.01089993305504322","0.01089993305504322","0.02412383258342743","0.02412383258342743","0.02412383258342743"
"33","10334.5","10334","10335","0.005691599566489458","0.005691599566489458","0.005691599566489458","0.003935455810278654","0.003935455810278654","0.003935455810278654"
"34","10638.5","10638","10639","0.005264866165816784","0.005264866165816784","0.005264866165816784","0.004446553532034159","0.004446553532034159","0.004446553532034159"
"35","10942.5","10942","10943","0.0048217205330729485","0.0048217205330729485","0.0048217205330729485","0.0034608645364642143","0.0034608645364642143","0.0034608645364642143"
"36","11246.5","11246","11247","0.004903784487396479","0.004903784487396479","0.004903784487396479","0.0047386097721755505","0.0047386097721755505","0.0047386097721755505"
"37","11550.5","11550","11551","0.005247541703283787","0.005247541703283787","0.005247541703283787","0.003993866965174675","0.003993866965174675","0.003993866965174675"
"38","11854.5","11854","11855","0.005151800345629454","0.005151800345629454","0.005151800345629454","0.005855724215507507","0.005855724215507507","0.005855724215507507"
"39","12158.5","12158","12159","0.004999525845050812","0.004999525845050812","0.004999525845050812","0.003723714966326952","0.003723714966326952","0.003723714966326952"
"40","12462.5","12462","12463","0.004609265364706516","0.004609265364706516","0.004609265364706516","0.004212908912450075","0.004212908912450075","0.004212908912450075"
"41","12766.5","12766","12767","0.005112592130899429","0.005112592130899429","0.005112592130899429","0.005023364443331957","0.005023364443331957","0.005023364443331957"
"42","13070.5","13070","13071","0.00490287272259593","0.00490287272259593","0.00490287272259593","0.0033075350802391768","0.0033075350802391768","0.0033075350802391768"
