"epoch","ENetB0_Base - _step","ENetB0_Base - _step__MIN","ENetB0_Base - _step__MAX","ENetB0_Base - train_loss_epoch","ENetB0_Base - train_loss_epoch__MIN","ENetB0_Base - train_loss_epoch__MAX","ENetB0_Base - val_loss_epoch","ENetB0_Base - val_loss_epoch__MIN","ENetB0_Base - val_loss_epoch__MAX"
"13","4254.5","4254","4255","0.047808706760406494","0.047808706760406494","0.047808706760406494","0.013733936473727226","0.013733936473727226","0.013733936473727226"
"14","4558.5","4558","4559","0.04122990369796753","0.04122990369796753","0.04122990369796753","0.03533148393034935","0.03533148393034935","0.03533148393034935"
"15","4862.5","4862","4863","0.03318306431174278","0.03318306431174278","0.03318306431174278","0.007527745328843594","0.007527745328843594","0.007527745328843594"
"16","5166.5","5166","5167","0.030931774526834488","0.030931774526834488","0.030931774526834488","0.009900701232254505","0.009900701232254505","0.009900701232254505"
"17","5470.5","5470","5471","0.03134027123451233","0.03134027123451233","0.03134027123451233","0.008265187032520771","0.008265187032520771","0.008265187032520771"
"18","5774.5","5774","5775","0.03183447942137718","0.03183447942137718","0.03183447942137718","0.006534754764288664","0.006534754764288664","0.006534754764288664"
"19","6078.5","6078","6079","0.031605612486600876","0.031605612486600876","0.031605612486600876","0.0067026871256530285","0.0067026871256530285","0.0067026871256530285"
"20","6382.5","6382","6383","0.03193386644124985","0.03193386644124985","0.03193386644124985","0.007279497571289539","0.007279497571289539","0.007279497571289539"
"21","6686.5","6686","6687","0.03124179318547249","0.03124179318547249","0.03124179318547249","0.009265478700399399","0.009265478700399399","0.009265478700399399"
"22","6990.5","6990","6991","0.03216547146439552","0.03216547146439552","0.03216547146439552","0.006184287369251251","0.006184287369251251","0.006184287369251251"
"23","7294.5","7294","7295","0.03158828616142273","0.03158828616142273","0.03158828616142273","0.006330315489321947","0.006330315489321947","0.006330315489321947"
"24","7598.5","7598","7599","0.03141595050692558","0.03141595050692558","0.03141595050692558","0.0066223712638020515","0.0066223712638020515","0.0066223712638020515"
"25","7902.5","7902","7903","0.03237063065171242","0.03237063065171242","0.03237063065171242","0.00852073635905981","0.00852073635905981","0.00852073635905981"
"26","8206.5","8206","8207","0.03150804713368416","0.03150804713368416","0.03150804713368416","0.006987441796809435","0.006987441796809435","0.006987441796809435"
"27","8510.5","8510","8511","0.03113602288067341","0.03113602288067341","0.03113602288067341","0.006556659005582333","0.006556659005582333","0.006556659005582333"
"28","8814.5","8814","8815","0.030050041154026985","0.030050041154026985","0.030050041154026985","0.00581191573292017","0.00581191573292017","0.00581191573292017"
"29","9118.5","9118","9119","0.03165028989315033","0.03165028989315033","0.03165028989315033","0.005563668441027403","0.005563668441027403","0.005563668441027403"
"30","9422.5","9422","9423","0.030181342735886574","0.030181342735886574","0.030181342735886574","0.005943341180682182","0.005943341180682182","0.005943341180682182"
"31","9726.5","9726","9727","0.03140592202544212","0.03140592202544212","0.03140592202544212","0.005351927597075701","0.005351927597075701","0.005351927597075701"
"32","10030.5","10030","10031","0.03286939859390259","0.03286939859390259","0.03286939859390259","0.0058922311291098595","0.0058922311291098595","0.0058922311291098595"
"33","10334.5","10334","10335","0.031223557889461517","0.031223557889461517","0.031223557889461517","0.012186040170490742","0.012186040170490742","0.012186040170490742"
"34","10638.5","10638","10639","0.031140580773353577","0.031140580773353577","0.031140580773353577","0.005476051475852728","0.005476051475852728","0.005476051475852728"
"35","10942.5","10942","10943","0.02793278731405735","0.02793278731405735","0.02793278731405735","0.010630841366946697","0.010630841366946697","0.010630841366946697"
"36","11246.5","11246","11247","0.031204408034682274","0.031204408034682274","0.031204408034682274","0.00782710313796997","0.00782710313796997","0.00782710313796997"
"37","11550.5","11550","11551","0.03094545193016529","0.03094545193016529","0.03094545193016529","0.005403037182986736","0.005403037182986736","0.005403037182986736"
"38","11854.5","11854","11855","0.032217442989349365","0.032217442989349365","0.032217442989349365","0.00590683426707983","0.00590683426707983","0.00590683426707983"
"39","12158.5","12158","12159","0.03021872788667679","0.03021872788667679","0.03021872788667679","0.005950642749667168","0.005950642749667168","0.005950642749667168"
"40","12462.5","12462","12463","0.030550632625818253","0.030550632625818253","0.030550632625818253","0.00834550242871046","0.00834550242871046","0.00834550242871046"
"41","12766.5","12766","12767","0.030288027599453926","0.030288027599453926","0.030288027599453926","0.017567172646522522","0.017567172646522522","0.017567172646522522"
"42","13070.5","13070","13071","0.030845150351524353","0.030845150351524353","0.030845150351524353","0.009411507286131382","0.009411507286131382","0.009411507286131382"
