"epoch","ConvNext_Tiny_Tuned - _step","ConvNext_Tiny_Tuned - _step__MIN","ConvNext_Tiny_Tuned - _step__MAX","ConvNext_Tiny_Tuned - train_loss_epoch","ConvNext_Tiny_Tuned - train_loss_epoch__MIN","ConvNext_Tiny_Tuned - train_loss_epoch__MAX","ConvNext_Tiny_Tuned - val_loss_epoch","ConvNext_Tiny_Tuned - val_loss_epoch__MIN","ConvNext_Tiny_Tuned - val_loss_epoch__MAX"
"22","3517.5","3517","3518","0.40914595127105713","0.40914595127105713","0.40914595127105713","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"23","3670.5","3670","3671","0.4183608293533325","0.4183608293533325","0.4183608293533325","0.4256936311721802","0.4256936311721802","0.4256936311721802"
"24","3823.5","3823","3824","0.3723529875278473","0.3723529875278473","0.3723529875278473","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"25","3976.5","3976","3977","0.3713463246822357","0.3713463246822357","0.3713463246822357","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"26","4129.5","4129","4130","0.37135180830955505","0.37135180830955505","0.37135180830955505","0.38784316182136536","0.38784316182136536","0.38784316182136536"
"27","4282.5","4282","4283","0.37226542830467224","0.37226542830467224","0.37226542830467224","0.38182681798934937","0.38182681798934937","0.38182681798934937"
"28","4435.5","4435","4436","0.3746206760406494","0.3746206760406494","0.3746206760406494","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"29","4588.5","4588","4589","0.3717675805091858","0.3717675805091858","0.3717675805091858","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"30","4741.5","4741","4742","0.371991902589798","0.371991902589798","0.371991902589798","0.38182681798934937","0.38182681798934937","0.38182681798934937"
"31","4894.5","4894","4895","0.3729310631752014","0.3729310631752014","0.3729310631752014","0.37462031841278076","0.37462031841278076","0.37462031841278076"
"32","5047.5","5047","5048","0.37598660588264465","0.37598660588264465","0.37598660588264465","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"33","5200.5","5200","5201","0.37443557381629944","0.37443557381629944","0.37443557381629944","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"34","5353.5","5353","5354","0.37715646624565125","0.37715646624565125","0.37715646624565125","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"35","5506.5","5506","5507","0.3772130012512207","0.3772130012512207","0.3772130012512207","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"36","5659.5","5659","5660","0.3758370578289032","0.3758370578289032","0.3758370578289032","0.38182681798934937","0.38182681798934937","0.38182681798934937"
"37","5812.5","5812","5813","0.37368515133857727","0.37368515133857727","0.37368515133857727","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"38","5965.5","5965","5966","0.3749772012233734","0.3749772012233734","0.3749772012233734","0.4256936311721802","0.4256936311721802","0.4256936311721802"
"39","6118.5","6118","6119","0.3699621856212616","0.3699621856212616","0.3699621856212616","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"40","6271.5","6271","6272","0.36765342950820923","0.36765342950820923","0.36765342950820923","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"41","6424.5","6424","6425","0.36692124605178833","0.36692124605178833","0.36692124605178833","0.37462031841278076","0.37462031841278076","0.37462031841278076"
"42","6577.5","6577","6578","0.3681148290634155","0.3681148290634155","0.3681148290634155","0.37161216139793396","0.37161216139793396","0.37161216139793396"
