"epoch","MLP_o1_Base - _step","MLP_o1_Base - _step__MIN","MLP_o1_Base - _step__MAX","MLP_o1_Base - train_loss_epoch","MLP_o1_Base - train_loss_epoch__MIN","MLP_o1_Base - train_loss_epoch__MAX","MLP_o1_Base - val_loss_epoch","MLP_o1_Base - val_loss_epoch__MIN","MLP_o1_Base - val_loss_epoch__MAX"
"21","6686.5","6686","6687","0.13235202431678772","0.13235202431678772","0.13235202431678772","0.07756279408931732","0.07756279408931732","0.07756279408931732"
"22","6990.5","6990","6991","0.13091956079006195","0.13091956079006195","0.13091956079006195","0.029139894992113113","0.029139894992113113","0.029139894992113113"
"23","7294.5","7294","7295","0.11436905711889267","0.11436905711889267","0.11436905711889267","0.025934578850865364","0.025934578850865364","0.025934578850865364"
"24","7598.5","7598","7599","0.10448306798934937","0.10448306798934937","0.10448306798934937","0.026861857622861862","0.026861857622861862","0.026861857622861862"
"25","7902.5","7902","7903","0.09549340605735779","0.09549340605735779","0.09549340605735779","0.028920853510499","0.028920853510499","0.028920853510499"
"26","8206.5","8206","8207","0.0888790413737297","0.0888790413737297","0.0888790413737297","0.04404935613274574","0.04404935613274574","0.04404935613274574"
"27","8510.5","8510","8511","0.0811166912317276","0.0811166912317276","0.0811166912317276","0.020129965618252754","0.020129965618252754","0.020129965618252754"
"28","8814.5","8814","8815","0.0776289701461792","0.0776289701461792","0.0776289701461792","0.009849591180682182","0.009849591180682182","0.009849591180682182"
"29","9118.5","9118","9119","0.07198751717805862","0.07198751717805862","0.07198751717805862","0.019742989912629128","0.019742989912629128","0.019742989912629128"
"30","9422.5","9422","9423","0.0686730444431305","0.0686730444431305","0.0686730444431305","0.043122079223394394","0.043122079223394394","0.043122079223394394"
"31","9726.5","9726","9727","0.06003078445792198","0.06003078445792198","0.06003078445792198","0.020349007099866867","0.020349007099866867","0.020349007099866867"
"32","10030.5","10030","10031","0.06097543239593506","0.06097543239593506","0.06097543239593506","0.030570968985557556","0.030570968985557556","0.030570968985557556"
"33","10334.5","10334","10335","0.05776946246623993","0.05776946246623993","0.05776946246623993","0.022028328850865364","0.022028328850865364","0.022028328850865364"
"34","10638.5","10638","10639","0.050598885864019394","0.050598885864019394","0.050598885864019394","0.020195677876472473","0.020195677876472473","0.020195677876472473"
"35","10942.5","10942","10943","0.04655950888991356","0.04655950888991356","0.04655950888991356","0.018961740657687187","0.018961740657687187","0.018961740657687187"
"36","11246.5","11246","11247","0.04595314711332321","0.04595314711332321","0.04595314711332321","0.03327248990535736","0.03327248990535736","0.03327248990535736"
"37","11550.5","11550","11551","0.041533540934324265","0.041533540934324265","0.041533540934324265","0.022232769057154655","0.022232769057154655","0.022232769057154655"
"38","11854.5","11854","11855","0.03978010639548302","0.03978010639548302","0.03978010639548302","0.01712178811430931","0.01712178811430931","0.01712178811430931"
"39","12158.5","12158","12159","0.036963481456041336","0.036963481456041336","0.036963481456041336","0.008549941703677177","0.008549941703677177","0.008549941703677177"
"40","12462.5","12462","12463","0.0352337546646595","0.0352337546646595","0.0352337546646595","0.01764748804271221","0.01764748804271221","0.01764748804271221"
"41","12766.5","12766","12767","0.03306452929973602","0.03306452929973602","0.03306452929973602","0.01964077167212963","0.01964077167212963","0.01964077167212963"
"42","13070.5","13070","13071","0.0369698666036129","0.0369698666036129","0.0369698666036129","0.0180782712996006","0.0180782712996006","0.0180782712996006"
