"epoch","MLP_full_Base - _step","MLP_full_Base - _step__MIN","MLP_full_Base - _step__MAX","MLP_full_Base - train_loss_epoch","MLP_full_Base - train_loss_epoch__MIN","MLP_full_Base - train_loss_epoch__MAX","MLP_full_Base - val_loss_epoch","MLP_full_Base - val_loss_epoch__MIN","MLP_full_Base - val_loss_epoch__MAX"
"34","10638.5","10638","10639","0.041378531605005264","0.041378531605005264","0.041378531605005264","0.010397195816040039","0.010397195816040039","0.010397195816040039"
"35","10942.5","10942","10943","0.03874700888991356","0.03874700888991356","0.03874700888991356","0.013609813526272774","0.013609813526272774","0.013609813526272774"
"36","11246.5","11246","11247","0.03211349621415138","0.03211349621415138","0.03211349621415138","0.007936623878777027","0.007936623878777027","0.007936623878777027"
"37","11550.5","11550","11551","0.03149710223078728","0.03149710223078728","0.03149710223078728","0.008717874065041542","0.008717874065041542","0.008717874065041542"
"38","11854.5","11854","11855","0.029580451548099518","0.029580451548099518","0.029580451548099518","0.017238609492778778","0.017238609492778778","0.017238609492778778"
"39","12158.5","12158","12159","0.027453169226646423","0.027453169226646423","0.027453169226646423","0.016617991030216217","0.016617991030216217","0.016617991030216217"
"40","12462.5","12462","12463","0.030258847400546074","0.030258847400546074","0.030258847400546074","0.015646904706954956","0.015646904706954956","0.015646904706954956"
"41","12766.5","12766","12767","0.02700272761285305","0.02700272761285305","0.02700272761285305","0.006739194039255381","0.006739194039255381","0.006739194039255381"
"42","13070.5","13070","13071","0.023741137236356735","0.023741137236356735","0.023741137236356735","0.009564836509525776","0.009564836509525776","0.009564836509525776"
"43","13374.5","13374","13375","0.02385602705180645","0.02385602705180645","0.02385602705180645","0.0055563668720424175","0.0055563668720424175","0.0055563668720424175"
