"epoch","MLP_Dend_Base - _step","MLP_Dend_Base - _step__MIN","MLP_Dend_Base - _step__MAX","MLP_Dend_Base - train_loss_epoch","MLP_Dend_Base - train_loss_epoch__MIN","MLP_Dend_Base - train_loss_epoch__MAX","MLP_Dend_Base - val_loss_epoch","MLP_Dend_Base - val_loss_epoch__MIN","MLP_Dend_Base - val_loss_epoch__MAX"
"21","6686.5","6686","6687","0.1180865541100502","0.1180865541100502","0.1180865541100502","0.057023949921131134","0.057023949921131134","0.057023949921131134"
"22","6990.5","6990","6991","0.10707082599401474","0.10707082599401474","0.10707082599401474","0.02653329446911812","0.02653329446911812","0.02653329446911812"
"23","7294.5","7294","7295","0.11383016407489777","0.11383016407489777","0.11383016407489777","0.03182680904865265","0.03182680904865265","0.03182680904865265"
"24","7598.5","7598","7599","0.10811121016740799","0.10811121016740799","0.10811121016740799","0.020655665546655655","0.020655665546655655","0.020655665546655655"
"25","7902.5","7902","7903","0.08642532676458359","0.08642532676458359","0.08642532676458359","0.046181365847587585","0.046181365847587585","0.046181365847587585"
"26","8206.5","8206","8207","0.08361143618822098","0.08361143618822098","0.08361143618822098","0.031213492155075073","0.031213492155075073","0.031213492155075073"
"27","8510.5","8510","8511","0.0803379938006401","0.0803379938006401","0.0803379938006401","0.017581775784492493","0.017581775784492493","0.017581775784492493"
"28","8814.5","8814","8815","0.068560890853405","0.068560890853405","0.068560890853405","0.01919538527727127","0.01919538527727127","0.01919538527727127"
"29","9118.5","9118","9119","0.07413212954998016","0.07413212954998016","0.07413212954998016","0.02516063116490841","0.02516063116490841","0.02516063116490841"
"30","9422.5","9422","9423","0.05925482138991356","0.05925482138991356","0.05925482138991356","0.018596669659018517","0.018596669659018517","0.018596669659018517"
"31","9726.5","9726","9727","0.06279725581407547","0.06279725581407547","0.06279725581407547","0.011820969171822071","0.011820969171822071","0.011820969171822071"
"32","10030.5","10030","10031","0.05236508697271347","0.05236508697271347","0.05236508697271347","0.020765187218785286","0.020765187218785286","0.020765187218785286"
"33","10334.5","10334","10335","0.058497097343206406","0.058497097343206406","0.058497097343206406","0.012105723842978477","0.012105723842978477","0.012105723842978477"
"34","10638.5","10638","10639","0.04305081441998482","0.04305081441998482","0.04305081441998482","0.022948306053876877","0.022948306053876877","0.022948306053876877"
"35","10942.5","10942","10943","0.04367358982563019","0.04367358982563019","0.04367358982563019","0.013675525784492493","0.013675525784492493","0.013675525784492493"
"36","11246.5","11246","11247","0.04315932095050812","0.04315932095050812","0.04315932095050812","0.014821846038103104","0.014821846038103104","0.014821846038103104"
"37","11550.5","11550","11551","0.03697533532977104","0.03697533532977104","0.03697533532977104","0.01494596991688013","0.01494596991688013","0.01494596991688013"
"38","11854.5","11854","11855","0.03330616280436516","0.03330616280436516","0.03330616280436516","0.01466851681470871","0.01466851681470871","0.01466851681470871"
"39","12158.5","12158","12159","0.03689053654670715","0.03689053654670715","0.03689053654670715","0.02067757025361061","0.02067757025361061","0.02067757025361061"
"40","12462.5","12462","12463","0.03184177353978157","0.03184177353978157","0.03184177353978157","0.03628796711564064","0.03628796711564064","0.03628796711564064"
"41","12766.5","12766","12767","0.030606253072619438","0.030606253072619438","0.030606253072619438","0.021845795214176178","0.021845795214176178","0.021845795214176178"
"42","13070.5","13070","13071","0.029016945511102676","0.029016945511102676","0.029016945511102676","0.022758468985557556","0.022758468985557556","0.022758468985557556"
